Counts for Lenovo(7) in United Kingdom(48):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	1
5	0	0
6	0	0
7	0	0
8	0	1
9	0	0
10	0	1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	3
16	0	1
17	0	2
18	0	0
19	0	0
20	0	0
21	0	3
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	1
15	4	2
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	1
16	5	0
17	5	0
18	5	1
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	1
11	6	1
12	6	1
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	1
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	1
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	2
20	9	4
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	2
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	2
7	11	0
8	11	1
9	11	0
10	11	2
11	11	0
12	11	0
13	11	0
14	11	1
15	11	0
16	11	2
17	11	2
18	11	1
19	11	2
20	11	2
21	11	1
22	11	1
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	4
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	1
1	13	1
2	13	0
3	13	0
4	13	0
5	13	0
6	13	1
7	13	1
8	13	1
9	13	1
10	13	1
11	13	1
12	13	1
13	13	1
14	13	2
15	13	1
16	13	1
17	13	1
18	13	1
19	13	1
20	13	1
21	13	1
22	13	1
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	1
7	14	1
8	14	1
9	14	1
10	14	0
11	14	1
12	14	1
13	14	1
14	14	1
15	14	1
16	14	1
17	14	1
18	14	1
19	14	1
20	14	1
21	14	1
22	14	1
23	14	0
0	15	1
1	15	0
2	15	0
3	15	0
4	15	0
5	15	1
6	15	0
7	15	1
8	15	1
9	15	1
10	15	1
11	15	1
12	15	1
13	15	1
14	15	0
15	15	1
16	15	0
17	15	1
18	15	0
19	15	1
20	15	1
21	15	1
22	15	1
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	1
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	1
19	16	1
20	16	1
21	16	4
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	1
1	18	1
2	18	0
3	18	1
4	18	0
5	18	0
6	18	1
7	18	1
8	18	0
9	18	1
10	18	1
11	18	1
12	18	1
13	18	1
14	18	0
15	18	1
16	18	1
17	18	1
18	18	1
19	18	0
20	18	1
21	18	1
22	18	1
23	18	1
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	2
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	2
22	19	0
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	1
7	20	0
8	20	1
9	20	1
10	20	0
11	20	1
12	20	1
13	20	0
14	20	1
15	20	1
16	20	1
17	20	1
18	20	1
19	20	1
20	20	1
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	2
8	21	2
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	1
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	1
16	22	0
17	22	0
18	22	0
19	22	2
20	22	0
21	22	1
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	1
7	23	1
8	23	0
9	23	0
10	23	1
11	23	1
12	23	1
13	23	0
14	23	1
